article_number,batch_name,char_length
100085,softcite_data/step1_txt/pmc/PMC1874646-3/text.txt.gz,3547
100086,softcite_data/step1_txt/pmc/PMC1874646-4/text.txt.gz,5781
100087,softcite_data/step1_txt/pmc/PMC1874646-5/text.txt.gz,4411
100088,softcite_data/step1_txt/pmc/PMC1874646-6/text.txt.gz,3264
100089,softcite_data/step1_txt/pmc/PMC1874646-7/text.txt.gz,2018
100090,softcite_data/step1_txt/pmc/PMC1888825-0/text.txt.gz,3966
100091,softcite_data/step1_txt/pmc/PMC1888825-1/text.txt.gz,3894
100092,softcite_data/step1_txt/pmc/PMC1888825-10/text.txt.gz,3931
100093,softcite_data/step1_txt/pmc/PMC1888825-11/text.txt.gz,1813
100094,softcite_data/step1_txt/pmc/PMC1888825-2/text.txt.gz,3302
100095,softcite_data/step1_txt/pmc/PMC1888825-3/text.txt.gz,3584
100096,softcite_data/step1_txt/pmc/PMC1888825-4/text.txt.gz,3772
100097,softcite_data/step1_txt/pmc/PMC1888825-5/text.txt.gz,4914
100098,softcite_data/step1_txt/pmc/PMC1888825-6/text.txt.gz,3579
100099,softcite_data/step1_txt/pmc/PMC1888825-7/text.txt.gz,5760
100100,softcite_data/step1_txt/pmc/PMC1888825-8/text.txt.gz,4060
100101,softcite_data/step1_txt/pmc/PMC1888825-9/text.txt.gz,3909
100102,softcite_data/step1_txt/pmc/PMC1904263-0/text.txt.gz,3154
100103,softcite_data/step1_txt/pmc/PMC1904263-1/text.txt.gz,4944
100104,softcite_data/step1_txt/pmc/PMC1904263-2/text.txt.gz,3396
100105,softcite_data/step1_txt/pmc/PMC1904263-3/text.txt.gz,3508
100106,softcite_data/step1_txt/pmc/PMC1904263-4/text.txt.gz,1268
100107,softcite_data/step1_txt/pmc/PMC1904288-0/text.txt.gz,3876
100108,softcite_data/step1_txt/pmc/PMC1904288-1/text.txt.gz,3305
100109,softcite_data/step1_txt/pmc/PMC1904288-2/text.txt.gz,3904
100110,softcite_data/step1_txt/pmc/PMC1904288-3/text.txt.gz,4278
100111,softcite_data/step1_txt/pmc/PMC1904288-4/text.txt.gz,6194
100112,softcite_data/step1_txt/pmc/PMC1904288-5/text.txt.gz,3939
100113,softcite_data/step1_txt/pmc/PMC1904288-6/text.txt.gz,395
100114,softcite_data/step1_txt/pmc/PMC1933159-0/text.txt.gz,3333
100115,softcite_data/step1_txt/pmc/PMC1933159-1/text.txt.gz,4214
100116,softcite_data/step1_txt/pmc/PMC1933159-2/text.txt.gz,3856
100117,softcite_data/step1_txt/pmc/PMC1933159-3/text.txt.gz,3686
100118,softcite_data/step1_txt/pmc/PMC1933159-4/text.txt.gz,3208
100119,softcite_data/step1_txt/pmc/PMC1933159-5/text.txt.gz,211
100120,softcite_data/step1_txt/pmc/PMC1933234-0/text.txt.gz,4499
100121,softcite_data/step1_txt/pmc/PMC1933234-1/text.txt.gz,4499
100122,softcite_data/step1_txt/pmc/PMC1933234-2/text.txt.gz,4503
100123,softcite_data/step1_txt/pmc/PMC1933234-3/text.txt.gz,3269
100124,softcite_data/step1_txt/pmc/PMC1933234-4/text.txt.gz,1400
100125,softcite_data/step1_txt/pmc/PMC1934993-0/text.txt.gz,4307
100126,softcite_data/step1_txt/pmc/PMC1934993-1/text.txt.gz,3444
100127,softcite_data/step1_txt/pmc/PMC1934993-2/text.txt.gz,3892
100128,softcite_data/step1_txt/pmc/PMC1934993-3/text.txt.gz,4127
100129,softcite_data/step1_txt/pmc/PMC1934993-4/text.txt.gz,3082
100130,softcite_data/step1_txt/pmc/PMC1934993-5/text.txt.gz,2851
100131,softcite_data/step1_txt/pmc/PMC1950546-0/text.txt.gz,3248
100132,softcite_data/step1_txt/pmc/PMC1950546-1/text.txt.gz,3305
100133,softcite_data/step1_txt/pmc/PMC1950546-2/text.txt.gz,4101
100134,softcite_data/step1_txt/pmc/PMC1950546-3/text.txt.gz,4536
100135,softcite_data/step1_txt/pmc/PMC1950546-4/text.txt.gz,4476
100136,softcite_data/step1_txt/pmc/PMC1950546-5/text.txt.gz,3042
100137,softcite_data/step1_txt/pmc/PMC1950546-6/text.txt.gz,3692
100138,softcite_data/step1_txt/pmc/PMC1950546-7/text.txt.gz,2591
100139,softcite_data/step1_txt/pmc/PMC2034468-0/text.txt.gz,3757
100140,softcite_data/step1_txt/pmc/PMC2034468-1/text.txt.gz,4179
100141,softcite_data/step1_txt/pmc/PMC2034468-2/text.txt.gz,3239
100142,softcite_data/step1_txt/pmc/PMC2034468-3/text.txt.gz,3206
100143,softcite_data/step1_txt/pmc/PMC2034468-4/text.txt.gz,4032
100144,softcite_data/step1_txt/pmc/PMC2034468-5/text.txt.gz,3737
100145,softcite_data/step1_txt/pmc/PMC2034468-6/text.txt.gz,3805
100146,softcite_data/step1_txt/pmc/PMC2034468-7/text.txt.gz,3406
100147,softcite_data/step1_txt/pmc/PMC2034468-8/text.txt.gz,93
100148,softcite_data/step1_txt/pmc/PMC2094076-0/text.txt.gz,4357
100149,softcite_data/step1_txt/pmc/PMC2094076-1/text.txt.gz,3599
100150,softcite_data/step1_txt/pmc/PMC2094076-10/text.txt.gz,1104
100151,softcite_data/step1_txt/pmc/PMC2094076-2/text.txt.gz,3115
100152,softcite_data/step1_txt/pmc/PMC2094076-3/text.txt.gz,3335
100153,softcite_data/step1_txt/pmc/PMC2094076-4/text.txt.gz,6061
100154,softcite_data/step1_txt/pmc/PMC2094076-5/text.txt.gz,4280
100155,softcite_data/step1_txt/pmc/PMC2094076-6/text.txt.gz,4612
100156,softcite_data/step1_txt/pmc/PMC2094076-7/text.txt.gz,4172
100157,softcite_data/step1_txt/pmc/PMC2094076-8/text.txt.gz,4378
100158,softcite_data/step1_txt/pmc/PMC2094076-9/text.txt.gz,3125
100159,softcite_data/step1_txt/pmc/PMC2238715-0/text.txt.gz,4073
100160,softcite_data/step1_txt/pmc/PMC2238715-1/text.txt.gz,5320
100161,softcite_data/step1_txt/pmc/PMC2238715-2/text.txt.gz,3386
100162,softcite_data/step1_txt/pmc/PMC2238715-3/text.txt.gz,3661
100163,softcite_data/step1_txt/pmc/PMC2238715-4/text.txt.gz,3547
100164,softcite_data/step1_txt/pmc/PMC2238715-5/text.txt.gz,3416
100165,softcite_data/step1_txt/pmc/PMC2238715-6/text.txt.gz,949
100166,softcite_data/step1_txt/pmc/PMC2241875-0/text.txt.gz,4516
100167,softcite_data/step1_txt/pmc/PMC2241875-1/text.txt.gz,3472
100168,softcite_data/step1_txt/pmc/PMC2241875-10/text.txt.gz,358
100169,softcite_data/step1_txt/pmc/PMC2241875-2/text.txt.gz,3248
100170,softcite_data/step1_txt/pmc/PMC2241875-3/text.txt.gz,3473
100171,softcite_data/step1_txt/pmc/PMC2241875-4/text.txt.gz,3554
100172,softcite_data/step1_txt/pmc/PMC2241875-5/text.txt.gz,4900
100173,softcite_data/step1_txt/pmc/PMC2241875-6/text.txt.gz,3448
100174,softcite_data/step1_txt/pmc/PMC2241875-7/text.txt.gz,4722
100175,softcite_data/step1_txt/pmc/PMC2241875-8/text.txt.gz,3120
100176,softcite_data/step1_txt/pmc/PMC2241875-9/text.txt.gz,3927
100177,softcite_data/step1_txt/pmc/PMC2248739-0/text.txt.gz,4602
100178,softcite_data/step1_txt/pmc/PMC2248739-1/text.txt.gz,3406
100179,softcite_data/step1_txt/pmc/PMC2248739-2/text.txt.gz,3130
100180,softcite_data/step1_txt/pmc/PMC2248739-3/text.txt.gz,4506
100181,softcite_data/step1_txt/pmc/PMC2248739-4/text.txt.gz,3274
100182,softcite_data/step1_txt/pmc/PMC2248739-5/text.txt.gz,3810
100183,softcite_data/step1_txt/pmc/PMC2248739-6/text.txt.gz,3972
100184,softcite_data/step1_txt/pmc/PMC2367720-0/text.txt.gz,4024
100185,softcite_data/step1_txt/pmc/PMC2367720-1/text.txt.gz,3716
100186,softcite_data/step1_txt/pmc/PMC2367720-2/text.txt.gz,3896
100187,softcite_data/step1_txt/pmc/PMC2367720-3/text.txt.gz,4601
100188,softcite_data/step1_txt/pmc/PMC2367720-4/text.txt.gz,3489
100189,softcite_data/step1_txt/pmc/PMC2367720-5/text.txt.gz,1946
100190,softcite_data/step1_txt/pmc/PMC2386104-0/text.txt.gz,5248
100191,softcite_data/step1_txt/pmc/PMC2386104-1/text.txt.gz,3346
100192,softcite_data/step1_txt/pmc/PMC2386104-2/text.txt.gz,3116
100193,softcite_data/step1_txt/pmc/PMC2386104-3/text.txt.gz,3735
100194,softcite_data/step1_txt/pmc/PMC2386104-4/text.txt.gz,4086
100195,softcite_data/step1_txt/pmc/PMC2386104-5/text.txt.gz,2092
100196,softcite_data/step1_txt/pmc/PMC2396796-0/text.txt.gz,3138
100197,softcite_data/step1_txt/pmc/PMC2396796-1/text.txt.gz,25
100198,softcite_data/step1_txt/pmc/PMC2447753-0/text.txt.gz,3093
100199,softcite_data/step1_txt/pmc/PMC2447753-1/text.txt.gz,3047
100200,softcite_data/step1_txt/pmc/PMC2447753-2/text.txt.gz,3372
100201,softcite_data/step1_txt/pmc/PMC2447753-3/text.txt.gz,3047
100202,softcite_data/step1_txt/pmc/PMC2447753-4/text.txt.gz,450
100203,softcite_data/step1_txt/pmc/PMC2447781-0/text.txt.gz,3556
100204,softcite_data/step1_txt/pmc/PMC2447781-1/text.txt.gz,4041
100205,softcite_data/step1_txt/pmc/PMC2447781-2/text.txt.gz,4158
100206,softcite_data/step1_txt/pmc/PMC2447781-3/text.txt.gz,3348
100207,softcite_data/step1_txt/pmc/PMC2447781-4/text.txt.gz,3024
100208,softcite_data/step1_txt/pmc/PMC2447781-5/text.txt.gz,1585
100209,softcite_data/step1_txt/pmc/PMC2447807-0/text.txt.gz,3947
100210,softcite_data/step1_txt/pmc/PMC2447807-1/text.txt.gz,3434
100211,softcite_data/step1_txt/pmc/PMC2447807-2/text.txt.gz,4279
100212,softcite_data/step1_txt/pmc/PMC2447807-3/text.txt.gz,1027
100213,softcite_data/step1_txt/pmc/PMC2453617-0/text.txt.gz,5102
100214,softcite_data/step1_txt/pmc/PMC2453617-1/text.txt.gz,3479
100215,softcite_data/step1_txt/pmc/PMC2453617-2/text.txt.gz,3938
100216,softcite_data/step1_txt/pmc/PMC2453617-3/text.txt.gz,589
100217,softcite_data/step1_txt/pmc/PMC2475704-0/text.txt.gz,3507
100218,softcite_data/step1_txt/pmc/PMC2475704-1/text.txt.gz,4305
100219,softcite_data/step1_txt/pmc/PMC2475704-2/text.txt.gz,4641
100220,softcite_data/step1_txt/pmc/PMC2475704-3/text.txt.gz,5078
100221,softcite_data/step1_txt/pmc/PMC2475704-4/text.txt.gz,3210
100222,softcite_data/step1_txt/pmc/PMC2500204-0/text.txt.gz,4569
100223,softcite_data/step1_txt/pmc/PMC2500204-1/text.txt.gz,4369
100224,softcite_data/step1_txt/pmc/PMC2500204-2/text.txt.gz,4210
100225,softcite_data/step1_txt/pmc/PMC2500204-3/text.txt.gz,5232
100226,softcite_data/step1_txt/pmc/PMC2500204-4/text.txt.gz,3502
100227,softcite_data/step1_txt/pmc/PMC2500204-5/text.txt.gz,3041
100228,softcite_data/step1_txt/pmc/PMC2500204-6/text.txt.gz,3215
100229,softcite_data/step1_txt/pmc/PMC2518490-0/text.txt.gz,11134
100230,softcite_data/step1_txt/pmc/PMC2518490-1/text.txt.gz,4258
100231,softcite_data/step1_txt/pmc/PMC2518490-2/text.txt.gz,4022
100232,softcite_data/step1_txt/pmc/PMC2518727-0/text.txt.gz,3446
100233,softcite_data/step1_txt/pmc/PMC2518727-1/text.txt.gz,3834
100234,softcite_data/step1_txt/pmc/PMC2518727-2/text.txt.gz,3293
100235,softcite_data/step1_txt/pmc/PMC2518727-3/text.txt.gz,4718
100236,softcite_data/step1_txt/pmc/PMC2518727-4/text.txt.gz,3772
100237,softcite_data/step1_txt/pmc/PMC2518727-5/text.txt.gz,1891
100238,softcite_data/step1_txt/pmc/PMC2529246-0/text.txt.gz,3177
100239,softcite_data/step1_txt/pmc/PMC2529246-1/text.txt.gz,3480
100240,softcite_data/step1_txt/pmc/PMC2529246-2/text.txt.gz,4430
100241,softcite_data/step1_txt/pmc/PMC2529246-3/text.txt.gz,3648
100242,softcite_data/step1_txt/pmc/PMC2529246-4/text.txt.gz,4049
100243,softcite_data/step1_txt/pmc/PMC2529246-5/text.txt.gz,3647
100244,softcite_data/step1_txt/pmc/PMC2529246-6/text.txt.gz,1763
100245,softcite_data/step1_txt/pmc/PMC2530889-0/text.txt.gz,6059
100246,softcite_data/step1_txt/pmc/PMC2530889-1/text.txt.gz,1377
100247,softcite_data/step1_txt/pmc/PMC2532740-0/text.txt.gz,3812
100248,softcite_data/step1_txt/pmc/PMC2532740-1/text.txt.gz,3475
100249,softcite_data/step1_txt/pmc/PMC2532740-2/text.txt.gz,3927
100250,softcite_data/step1_txt/pmc/PMC2532740-3/text.txt.gz,3910
100251,softcite_data/step1_txt/pmc/PMC2532740-4/text.txt.gz,3521
100252,softcite_data/step1_txt/pmc/PMC2532740-5/text.txt.gz,2971
100253,softcite_data/step1_txt/pmc/PMC2533095-0/text.txt.gz,3485
100254,softcite_data/step1_txt/pmc/PMC2533095-1/text.txt.gz,3817
100255,softcite_data/step1_txt/pmc/PMC2533095-10/text.txt.gz,1580
100256,softcite_data/step1_txt/pmc/PMC2533095-2/text.txt.gz,4663
100257,softcite_data/step1_txt/pmc/PMC2533095-3/text.txt.gz,3663
100258,softcite_data/step1_txt/pmc/PMC2533095-4/text.txt.gz,4640
100259,softcite_data/step1_txt/pmc/PMC2533095-5/text.txt.gz,3701
100260,softcite_data/step1_txt/pmc/PMC2533095-6/text.txt.gz,4702
100261,softcite_data/step1_txt/pmc/PMC2533095-7/text.txt.gz,3386
100262,softcite_data/step1_txt/pmc/PMC2533095-8/text.txt.gz,4752
100263,softcite_data/step1_txt/pmc/PMC2533095-9/text.txt.gz,3752
100264,softcite_data/step1_txt/pmc/PMC2551674-0/text.txt.gz,5561
100265,softcite_data/step1_txt/pmc/PMC2551674-1/text.txt.gz,3933
100266,softcite_data/step1_txt/pmc/PMC2551674-2/text.txt.gz,3476
100267,softcite_data/step1_txt/pmc/PMC2551674-3/text.txt.gz,3522
100268,softcite_data/step1_txt/pmc/PMC2551674-4/text.txt.gz,1296
100269,softcite_data/step1_txt/pmc/PMC2551693-0/text.txt.gz,5338
100270,softcite_data/step1_txt/pmc/PMC2551693-1/text.txt.gz,1677
100271,softcite_data/step1_txt/pmc/PMC2552405-0/text.txt.gz,3660
100272,softcite_data/step1_txt/pmc/PMC2552405-1/text.txt.gz,4080
100273,softcite_data/step1_txt/pmc/PMC2552405-2/text.txt.gz,3450
100274,softcite_data/step1_txt/pmc/PMC2552405-3/text.txt.gz,4409
100275,softcite_data/step1_txt/pmc/PMC2552405-4/text.txt.gz,3280
100276,softcite_data/step1_txt/pmc/PMC2552405-5/text.txt.gz,3478
100277,softcite_data/step1_txt/pmc/PMC2552405-6/text.txt.gz,3087
100278,softcite_data/step1_txt/pmc/PMC2552405-7/text.txt.gz,1003
100279,softcite_data/step1_txt/pmc/PMC2553567-0/text.txt.gz,3403
100280,softcite_data/step1_txt/pmc/PMC2553567-1/text.txt.gz,4981
100281,softcite_data/step1_txt/pmc/PMC2553567-2/text.txt.gz,3053
100282,softcite_data/step1_txt/pmc/PMC2556094-0/text.txt.gz,3447
100283,softcite_data/step1_txt/pmc/PMC2556094-1/text.txt.gz,3888
100284,softcite_data/step1_txt/pmc/PMC2556094-2/text.txt.gz,3230
100285,softcite_data/step1_txt/pmc/PMC2556094-3/text.txt.gz,5271
100286,softcite_data/step1_txt/pmc/PMC2556094-4/text.txt.gz,5909
100287,softcite_data/step1_txt/pmc/PMC2556094-5/text.txt.gz,4451
100288,softcite_data/step1_txt/pmc/PMC2556094-6/text.txt.gz,2229
100289,softcite_data/step1_txt/pmc/PMC2570388-0/text.txt.gz,4182
100290,softcite_data/step1_txt/pmc/PMC2570388-1/text.txt.gz,4669
100291,softcite_data/step1_txt/pmc/PMC2570388-2/text.txt.gz,1541
100292,softcite_data/step1_txt/pmc/PMC2577804-0/text.txt.gz,4036
100293,softcite_data/step1_txt/pmc/PMC2577804-1/text.txt.gz,1749
100294,softcite_data/step1_txt/pmc/PMC2584180-0/text.txt.gz,3770
100295,softcite_data/step1_txt/pmc/PMC2585846-0/text.txt.gz,3296
100296,softcite_data/step1_txt/pmc/PMC2585846-1/text.txt.gz,4337
100297,softcite_data/step1_txt/pmc/PMC2585846-10/text.txt.gz,5044
100298,softcite_data/step1_txt/pmc/PMC2585846-11/text.txt.gz,1202
100299,softcite_data/step1_txt/pmc/PMC2585846-2/text.txt.gz,4916
100300,softcite_data/step1_txt/pmc/PMC2585846-3/text.txt.gz,3482
100301,softcite_data/step1_txt/pmc/PMC2585846-4/text.txt.gz,3743
100302,softcite_data/step1_txt/pmc/PMC2585846-5/text.txt.gz,4334
100303,softcite_data/step1_txt/pmc/PMC2585846-6/text.txt.gz,4600
100304,softcite_data/step1_txt/pmc/PMC2585846-7/text.txt.gz,3776
100305,softcite_data/step1_txt/pmc/PMC2585846-8/text.txt.gz,3569
100306,softcite_data/step1_txt/pmc/PMC2585846-9/text.txt.gz,4986
100307,softcite_data/step1_txt/pmc/PMC2596709-0/text.txt.gz,3944
100308,softcite_data/step1_txt/pmc/PMC2596709-1/text.txt.gz,4328
100309,softcite_data/step1_txt/pmc/PMC2596709-2/text.txt.gz,494
100310,softcite_data/step1_txt/pmc/PMC2602909-0/text.txt.gz,4168
100311,softcite_data/step1_txt/pmc/PMC2602909-1/text.txt.gz,3449
100312,softcite_data/step1_txt/pmc/PMC2602909-2/text.txt.gz,3206
100313,softcite_data/step1_txt/pmc/PMC2602909-3/text.txt.gz,4079
100314,softcite_data/step1_txt/pmc/PMC2602909-4/text.txt.gz,4373
100315,softcite_data/step1_txt/pmc/PMC2602909-5/text.txt.gz,3381
100316,softcite_data/step1_txt/pmc/PMC2602909-6/text.txt.gz,3328
100317,softcite_data/step1_txt/pmc/PMC2602909-7/text.txt.gz,42
100318,softcite_data/step1_txt/pmc/PMC2606938-0/text.txt.gz,3304
100319,softcite_data/step1_txt/pmc/PMC2606938-1/text.txt.gz,3409
100320,softcite_data/step1_txt/pmc/PMC2606938-10/text.txt.gz,3221
100321,softcite_data/step1_txt/pmc/PMC2606938-11/text.txt.gz,3043
100322,softcite_data/step1_txt/pmc/PMC2606938-12/text.txt.gz,2813
100323,softcite_data/step1_txt/pmc/PMC2606938-2/text.txt.gz,4318
100324,softcite_data/step1_txt/pmc/PMC2606938-3/text.txt.gz,4073
100325,softcite_data/step1_txt/pmc/PMC2606938-4/text.txt.gz,4963
100326,softcite_data/step1_txt/pmc/PMC2606938-5/text.txt.gz,4408
100327,softcite_data/step1_txt/pmc/PMC2606938-6/text.txt.gz,3782
100328,softcite_data/step1_txt/pmc/PMC2606938-7/text.txt.gz,4135
100329,softcite_data/step1_txt/pmc/PMC2606938-8/text.txt.gz,5376
100330,softcite_data/step1_txt/pmc/PMC2606938-9/text.txt.gz,3440
100331,softcite_data/step1_txt/pmc/PMC2606979-0/text.txt.gz,3086
100332,softcite_data/step1_txt/pmc/PMC2606979-1/text.txt.gz,3768
100333,softcite_data/step1_txt/pmc/PMC2606979-2/text.txt.gz,1879
100334,softcite_data/step1_txt/pmc/PMC2626662-0/text.txt.gz,3914
100335,softcite_data/step1_txt/pmc/PMC2626662-1/text.txt.gz,5127
100336,softcite_data/step1_txt/pmc/PMC2626662-2/text.txt.gz,4441
100337,softcite_data/step1_txt/pmc/PMC2626662-3/text.txt.gz,4361
100338,softcite_data/step1_txt/pmc/PMC2626662-4/text.txt.gz,3437
100339,softcite_data/step1_txt/pmc/PMC2626662-5/text.txt.gz,2464
100340,softcite_data/step1_txt/pmc/PMC2626671-0/text.txt.gz,4247
100341,softcite_data/step1_txt/pmc/PMC2626671-1/text.txt.gz,3328
100342,softcite_data/step1_txt/pmc/PMC2626671-2/text.txt.gz,4363
100343,softcite_data/step1_txt/pmc/PMC2626671-3/text.txt.gz,4335
100344,softcite_data/step1_txt/pmc/PMC2626671-4/text.txt.gz,3892
100345,softcite_data/step1_txt/pmc/PMC2626671-5/text.txt.gz,6237
100346,softcite_data/step1_txt/pmc/PMC2626671-6/text.txt.gz,3526
100347,softcite_data/step1_txt/pmc/PMC2626671-7/text.txt.gz,3180
100348,softcite_data/step1_txt/pmc/PMC2627178-0/text.txt.gz,3286
100349,softcite_data/step1_txt/pmc/PMC2627178-1/text.txt.gz,934
100350,softcite_data/step1_txt/pmc/PMC2627193-0/text.txt.gz,3609
100351,softcite_data/step1_txt/pmc/PMC2627212-0/text.txt.gz,2915
100352,softcite_data/step1_txt/pmc/PMC2627247-0/text.txt.gz,3461
100353,softcite_data/step1_txt/pmc/PMC2627247-1/text.txt.gz,910
100354,softcite_data/step1_txt/pmc/PMC2632917-0/text.txt.gz,3730
100355,softcite_data/step1_txt/pmc/PMC2632917-1/text.txt.gz,3888
100356,softcite_data/step1_txt/pmc/PMC2632917-2/text.txt.gz,1221
100357,softcite_data/step1_txt/pmc/PMC2633203-0/text.txt.gz,3863
